100,40.011
101,39.979
102,39.898
103,39.866
104,39.862
105,39.954
106,40.001
107,40.175
108,40.246
109,40.219
110,40.121
111,40.05
112,39.818
113,39.826
114,39.85
115,39.904
116,39.96
117,40.024
118,40.067
119,40.163
120,40.293
121,40.45
122,40.619
123,40.742
124,40.788
125,41.137
126,41.256
127,41.543
128,42.022
129,42.431
130,43.101
131,43.841
132,44.601
133,45.499
134,46.335
135,47.364
136,48.369
137,49.52
138,50.718
139,51.702
140,52.697
141,53.438
142,53.484
143,53.337
144,53.433
145,53.313
146,53.187
147,53.148
148,53.158
149,53.186
150,53.409
151,53.343
152,53.055
153,52.914
154,52.713
155,52.541
156,52.563
157,52.341
158,52.037
159,51.78
160,51.555
161,51.337
162,51.189
163,51.059
164,51.005
165,50.953
166,50.888
167,50.79
168,50.671
169,50.589
170,50.736
171,50.884
172,50.87
173,50.835
174,50.94
175,50.897
176,50.91
177,50.931
178,50.974
179,51.078
180,51.117
181,51.075
182,51.016
183,50.959
184,50.943
185,50.93
186,51.001
187,51.007
188,51.055
189,51.177
190,51.188
191,51.218
192,51.258
193,51.253
194,51.24
195,51.219
196,51.175
197,51.135
198,51.138
199,51.131
200,51.13
